derûnî,n,psikoloji,
dest lê dan,v,dokunmak,
dest pê kirin,v,başlamak,
dest,n,el,
destgîr,n,tutsak,
desthilatdarî,n,egemenlik,
destmal,n,mendil,
destpêkirin,v,başlamak,
dev jê berde,v,boşver,
dev,n,ağız,
dew,n,ayran,
dewlemend,adj,zengin,
dewlemend,sıfat,zengin,
di nav,edat,içinde,
di,edat,içinde,
dibistan,n,okul,
dijber,n,karşıt,
dijwar,sıfat,zor,
dikandar,n,bakkal,
dil,n,kalp,
dilfireh,n,rahat,
dilgerm,n,sıcakkanlı,
dilsoz,sıfat,duygusal,
dilxweş kirin,v,tatmin etmek,
diran,n,diş,
diransaz,n,diş hekimi,
diroknas,n,tarihçi,
dirêj,adj,uzun,
dirûnker,n,terzi,
dirûvîn,v,benzemek,
diş,n,baldız,
domandin,v,"devam etm.,sürdürmek",
dotin,v,"sağmak",
dotmam,n,amca kızı,<b>Hevoka Mînak - Örnek Cümle</b><br>Dotmama min hinda bûye. <br> Amca kızım kaybolmuş. (Dotmam)
dozger,n,savcı,
dunik,n,tırnak işareti,
duşem,n,pazartesi,
dêm,n,yanak,
dêr,n,kilise,
dîdar,n,görgü,
dîlan,sıfat,neşeli,
dîlşad,sıfat,"mutlu, mesut",
dîlşad,sıfat,mutlu,
dîmen,n,sahne,
dîtin,v,bulmak,
dîtin,v,görmek,
dîtin,v,görmek,
dîwar,n,duvar,
dûgel,n,devlet,
dûpişk,n,akrep,
eciban,n,beğeni,
ecibandin,v,beğenmek,<b>Hevoka Mînak - Örnek Cümle</b><br>Min wêneyê te eciband.<br>Ben fotoğrafını beğendim.
elektrîkvan,n,elektrikçi,
em,pron,biz,
emlaqfiroş,n,emlakçı,
encam,n,sonuç,
endam,n,üye,
endazyar,n,mühendis,<b>Hevoka Mînak - Örnek Cümle</b><br>Xwezî ez bibûma endazyarê avahiya.<br>Keşke inşaat mühendisi olsaydım.
enişk,n,dirsek,
enî,n,alın,
erd,n,"yer,toprak",
erdnas,n,yerbilimci,
erzan,adj,ucuz,
erzan,sıfat,ucuz,
erîş,n,saldırı,
